quarter,starter,trade up,premium,city,state
298,2012 Q3,84966.66,174266.7,366150.0,Chicago,Illinois
299,2012 Q3,198166.7,349900.0,684633.3,New York,New York
300,2012 Q4,71150.0,148733.3,299300.0,Fresno,California
301,2012 Q4,244833.3,396783.3,794633.3,Ventura County,California
302,2012 Q4,67900.0,129966.3,249565.0,Bakersfield,California
303,2012 Q4,447583.3,694500.0,1593000.0,San Francisco,California
304,2012 Q4,117966.7,179433.3,345998.3,Salt Lake City,Utah
305,2012 Q4,90600.0,143033.3,251600.0,Baton Rouge,Louisiana
306,2012 Q4,341325.0,608149.2,1358167.0,San Jose,California
307,2012 Q4,255000.0,498500.0,980833.3,Honolulu,Hawaii
308,2012 Q4,40616.5,90925.0,189766.7,Toledo,Ohio
309,2012 Q4,71166.66,119500.0,209883.3,Syracuse,New York
310,2012 Q4,123266.7,203950.0,359949.7,Tacoma,Washington
311,2012 Q4,193833.3,382666.7,799000.0,Oakland,California
312,2012 Q4,183050.0,349963.3,714833.3,Silver Spring-Frederick-Rockville,Maryland
313,2012 Q4,83349.66,115958.0,202393.3,El Paso,Texas
314,2012 Q4,69900.0,123300.0,229916.7,Buffalo,New York
315,2012 Q4,60450.0,111483.3,200799.7,Wichita,Kansas
316,2012 Q4,103716.7,186433.3,322916.7,Wilmington,Delaware
317,2012 Q4,56933.33,115633.3,234933.3,Akron,Ohio
318,2012 Q4,91166.34,172166.5,561500.0,Charleston,South Carolina
319,2012 Q4,59483.33,121633.3,234050.0,Winston-Salem,North Carolina
320,2012 Q4,81983.16,145283.3,283983.3,New Orleans,Louisiana
321,2012 Q4,127116.7,193133.3,360166.7,Colorado Springs,Colorado
322,2012 Q4,68566.66,125333.3,243266.3,Gary,Indiana
323,2012 Q4,72800.0,119900.0,218266.7,Rochester,New York
324,2012 Q4,106333.3,160933.3,284633.3,Albuquerque,New Mexico
325,2012 Q4,51633.33,114100.0,227633.3,Greensboro-High Point,North Carolina
326,2012 Q4,117466.7,218500.0,453225.0,Sacramento,California
327,2012 Q4,97216.66,177750.0,323308.3,Richmond,Virginia
328,2012 Q4,99600.0,170266.7,297666.7,Allentown,Pennsylvania
329,2012 Q4,43900.0,96516.66,191566.7,Dayton,Ohio
330,2012 Q4,69466.66,129000.0,245686.0,Omaha,Nebraska
331,2012 Q4,117601.7,183583.3,311616.7,Albany,New York
332,2012 Q4,124991.7,199900.0,349900.0,Worcester,Massachusetts
333,2012 Q4,123266.7,207866.7,399000.0,New Haven,Connecticut
334,2012 Q4,103266.7,189900.0,334900.0,Madison,Wisconsin
335,2012 Q4,66500.0,125650.0,242166.7,Little Rock,Arkansas
336,2012 Q4,87491.66,179933.3,499000.0,Lake County-Kenosha County,IL-WI
337,2012 Q4,79900.0,169566.7,347216.7,Milwaukee,Wisconsin
338,2012 Q4,60800.0,119900.0,234900.0,Grand Rapids,Michigan
339,2012 Q4,66616.66,128333.3,271266.7,Greenville,South Carolina
340,2012 Q4,49933.33,125266.7,256863.0,Birmingham,Alabama
341,2012 Q4,53650.0,109900.0,224966.7,Tulsa,Oklahoma
342,2012 Q4,59966.67,118300.0,225000.0,Columbia,South Carolina
343,2012 Q4,187966.7,371666.7,1059167.0,Fairfield County,Connecticut
344,2012 Q4,81516.66,145000.0,294866.7,Tucson,Arizona
345,2012 Q4,69900.0,124075.0,256000.0,Louisville,Kentucky
346,2012 Q4,59933.33,119966.7,275000.0,Deltona-Daytona Beach-Ormond Beach,Florida
347,2012 Q4,115166.7,185866.7,401608.3,Austin,Texas
348,2012 Q4,169316.7,299649.7,632658.3,Seattle,Washington
349,2012 Q4,197666.7,319600.0,629383.3,Boston,Massachusetts
350,2012 Q4,106633.3,185000.0,349999.8,Raleigh,North Carolina
351,2012 Q4,59933.33,116500.0,225000.0,Oklahoma City,Oklahoma
352,2012 Q4,64933.33,125000.0,273783.3,Las Vegas,Nevada
353,2012 Q4,131430.0,214900.0,369960.7,Hartford,Connecticut
354,2012 Q4,74966.66,159900.0,427666.7,North Port-Sarasota-Bradenton,Florida
355,2012 Q4,42333.33,104933.3,231200.0,Memphis,Tennessee
356,2012 Q4,58966.67,124966.7,263133.3,Knoxville,Tennessee
357,2012 Q4,204466.2,346300.0,649900.0,Cambridge-Newton-Framingham,Massachusetts
358,2012 Q4,139333.3,229916.7,413592.3,Portland,Oregon
359,2012 Q4,58500.0,133633.3,310630.0,Jacksonville,Florida
360,2012 Q4,131600.0,219900.0,403265.0,Providence,Rhode Island
361,2012 Q4,281666.7,466733.3,946150.0,Orange County,California
362,2012 Q4,12866.67,49900.0,139900.0,Detroit,Michigan
363,2012 Q4,61100.0,133216.7,256633.3,Columbus,Ohio
364,2012 Q4,63466.67,134900.0,249266.7,Kansas City,Missouri
365,2012 Q4,107209.7,175000.0,295566.7,Camden,New Jersey
366,2012 Q4,168475.0,269266.7,497666.7,Montgomery County-Bucks County-Chester County,Pennsylvania
367,2012 Q4,69600.0,129900.0,249900.0,Cincinnati,Ohio
368,2012 Q4,71133.34,149600.0,389600.0,Cape Coral-Fort Myers,Florida
369,2012 Q4,199583.3,359600.0,752653.3,San Diego,California
370,2012 Q4,62000.0,130633.3,283331.5,Orlando,Florida
371,2012 Q4,118800.0,199000.0,377966.7,Virginia Beach-Norfolk,Virginia
372,2012 Q4,133333.3,227500.0,463000.0,Denver,Colorado
373,2012 Q4,47633.33,125000.0,280933.3,Warren-Troy-Farmington Hills,Michigan
374,2012 Q4,101266.7,179600.0,356333.3,Minneapolis-St. Paul,Minnesota
375,2012 Q4,62800.0,139930.0,378300.0,Fort Lauderdale,Florida
